   3.228kg - 2024-11-12 10:30:19.17
   3.597kg - 2024-11-12 10:30:19.22
   3.597kg - 2024-11-12 10:30:19.26
   3.597kg - 2024-11-12 10:30:19.29
   3.789kg - 2024-11-12 10:30:19.34
   3.789kg - 2024-11-12 10:30:19.37
   3.789kg - 2024-11-12 10:30:19.42
   3.789kg - 2024-11-12 10:30:19.45
   3.919kg - 2024-11-12 10:30:19.50
   3.919kg - 2024-11-12 10:30:19.54
   3.919kg - 2024-11-12 10:30:19.57
   4.101kg - 2024-11-12 10:30:19.62
   4.101kg - 2024-11-12 10:30:19.65
   4.101kg - 2024-11-12 10:30:19.70
   4.372kg - 2024-11-12 10:30:19.75
   4.372kg - 2024-11-12 10:30:19.79
   4.372kg - 2024-11-12 10:30:19.82
   4.622kg - 2024-11-12 10:30:19.87
   4.622kg - 2024-11-12 10:30:19.90
   4.622kg - 2024-11-12 10:30:19.95
   4.622kg - 2024-11-12 10:30:19.98
   4.789kg - 2024-11-12 10:30:20.03
   4.789kg - 2024-11-12 10:30:20.07
   4.789kg - 2024-11-12 10:30:20.11
   4.993kg - 2024-11-12 10:30:20.16
   4.993kg - 2024-11-12 10:30:20.19
   4.993kg - 2024-11-12 10:30:20.23
   5.238kg - 2024-11-12 10:30:20.27
   5.238kg - 2024-11-12 10:30:20.32
   5.238kg - 2024-11-12 10:30:20.35
   5.440kg - 2024-11-12 10:30:20.41
   5.440kg - 2024-11-12 10:30:20.44
   5.440kg - 2024-11-12 10:30:20.48
   5.440kg - 2024-11-12 10:30:20.52
   5.576kg - 2024-11-12 10:30:20.57
   5.576kg - 2024-11-12 10:30:20.60
   5.576kg - 2024-11-12 10:30:20.64
   5.605kg - 2024-11-12 10:30:20.68
   5.605kg - 2024-11-12 10:30:20.72
   5.605kg - 2024-11-12 10:30:20.77
   5.570kg - 2024-11-12 10:30:20.82
   5.570kg - 2024-11-12 10:30:20.85
   5.570kg - 2024-11-12 10:30:20.88
   5.509kg - 2024-11-12 10:30:20.94
   5.509kg - 2024-11-12 10:30:20.97
   5.509kg - 2024-11-12 10:30:21.02
   5.509kg - 2024-11-12 10:30:21.05
   5.256kg - 2024-11-12 10:30:21.10
   5.256kg - 2024-11-12 10:30:21.14
   5.256kg - 2024-11-12 10:30:21.17
   4.516kg - 2024-11-12 10:30:21.22
   4.516kg - 2024-11-12 10:30:21.25
   4.516kg - 2024-11-12 10:30:21.30
   3.136kg - 2024-11-12 10:30:21.35
   3.136kg - 2024-11-12 10:30:21.39
   3.136kg - 2024-11-12 10:30:21.42
   1.510kg - 2024-11-12 10:30:21.47
   1.510kg - 2024-11-12 10:30:21.51
   1.510kg - 2024-11-12 10:30:21.55
   1.510kg - 2024-11-12 10:30:21.59
   0.474kg - 2024-11-12 10:30:21.63
   0.474kg - 2024-11-12 10:30:21.67
   0.474kg - 2024-11-12 10:30:21.71
   0.197kg - 2024-11-12 10:30:21.76
   0.197kg - 2024-11-12 10:30:21.80
   0.197kg - 2024-11-12 10:30:21.84
   0.184kg - 2024-11-12 10:30:21.88
   0.184kg - 2024-11-12 10:30:21.92
   0.184kg - 2024-11-12 10:30:21.96
   0.185kg - 2024-11-12 10:30:22.01
   0.185kg - 2024-11-12 10:30:22.05
   0.185kg - 2024-11-12 10:30:22.09
   0.184kg - 2024-11-12 10:30:22.13
   0.184kg - 2024-11-12 10:30:22.17
   0.184kg - 2024-11-12 10:30:22.22
   0.184kg - 2024-11-12 10:30:22.25
   0.184kg - 2024-11-12 10:30:22.30
   0.184kg - 2024-11-12 10:30:22.34
   0.184kg - 2024-11-12 10:30:22.38
   0.184kg - 2024-11-12 10:30:22.42
   0.184kg - 2024-11-12 10:30:22.47
   0.184kg - 2024-11-12 10:30:22.51
   0.184kg - 2024-11-12 10:30:22.56
   0.184kg - 2024-11-12 10:30:22.59
   0.184kg - 2024-11-12 10:30:22.64
   0.184kg - 2024-11-12 10:30:22.68
   0.184kg - 2024-11-12 10:30:22.72
   0.184kg - 2024-11-12 10:30:22.76
   0.184kg - 2024-11-12 10:30:22.81
   0.184kg - 2024-11-12 10:30:22.85
   0.184kg - 2024-11-12 10:30:22.89
   0.184kg - 2024-11-12 10:30:22.93
   0.184kg - 2024-11-12 10:30:22.97
   0.184kg - 2024-11-12 10:30:23.02
   0.184kg - 2024-11-12 10:30:23.05
   0.184kg - 2024-11-12 10:30:23.10
   0.184kg - 2024-11-12 10:30:23.14
